#,Directive number,Title,Date,Page on gov.il,File name in zip,File title,File URL,Note
1,EX-023-01,נוהל להגשת בקשה לשינוי בתכשיר וטרינרי מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/departments/policies/ex-023,files_circulars_iscp-ex_EX-023-01.pdf,נוהל להגשת בקשה לשינוי בתכשיר וטרינרי מהיבט האיכות,https://www.gov.il/BlobFolder/policy/ex-023/he/files_circulars_iscp-ex_EX-023-01.pdf,
1,EX-023-01,נוהל להגשת בקשה לשינוי בתכשיר וטרינרי מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/departments/policies/ex-023,files_circulars_iscp-ex_Form-1-EX-023-01.docx,רשימת שינויים בתכשירים ווטרינריים להגשה למכון לביקורת ותקנים ולמחלקת רישום,https://www.gov.il/BlobFolder/policy/ex-023/he/files_circulars_iscp-ex_Form-1-EX-023-01.docx,
1,EX-023-01,נוהל להגשת בקשה לשינוי בתכשיר וטרינרי מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/departments/policies/ex-023,files_circulars_iscp-ex_Form-02-EX-009.docx,,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_Form-02-EX-009.docx,source: body
1,EX-023-01,נוהל להגשת בקשה לשינוי בתכשיר וטרינרי מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/departments/policies/ex-023,files_circulars_iscp-ex_Form-03-EX-009.docx,,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_Form-03-EX-009.docx,source: body
1,EX-023-01,נוהל להגשת בקשה לשינוי בתכשיר וטרינרי מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/departments/policies/ex-023,files_circulars_iscp-ex_Form-03-EX-009-en.docx,,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_Form-03-EX-009-en.docx,source: body
1,EX-023-01,נוהל להגשת בקשה לשינוי בתכשיר וטרינרי מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/departments/policies/ex-023,files_circulars_iscp-ex_EX-009-ria.pdf,,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_EX-009-ria.pdf,source: body
2,EX-009,נוהל להגשת בקשה לשינוי בתכשיר הומני מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-009,files_circulars_iscp-ex_EX-009.pdf,נוהל להגשת בקשה לשינוי בתכשיר הומני מהיבט האיכות,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_EX-009.pdf,
2,EX-009,נוהל להגשת בקשה לשינוי בתכשיר הומני מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-009,files_circulars_iscp-ex_Form-01-EX-009.docx,רשימת שינויים בתכשירים הומניים להגשה למכון לביקורת ותקינה ולמחלקת רישום,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_Form-01-EX-009.docx,
2,EX-009,נוהל להגשת בקשה לשינוי בתכשיר הומני מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-009,files_circulars_iscp-ex_Form-02-EX-009.docx,רשימת תיוג להגשת בקשה,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_Form-02-EX-009.docx,
2,EX-009,נוהל להגשת בקשה לשינוי בתכשיר הומני מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-009,files_circulars_iscp-ex_Form-03-EX-009.docx,בקשה לשינוי ברישום תכשיר מהיבט האיכות,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_Form-03-EX-009.docx,
2,EX-009,נוהל להגשת בקשה לשינוי בתכשיר הומני מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-009,files_circulars_iscp-ex_Form-03-EX-009-en.docx,APPLICATION FOR A VARIATION TO THE TERMS OF REGISTRATION OF A MEDICINAL PRODUCT REGARDING ITS' QUALITY,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_Form-03-EX-009-en.docx,
2,EX-009,נוהל להגשת בקשה לשינוי בתכשיר הומני מהיבט האיכות,2026-07-20T21:00:00Z,https://www.gov.il/he/Departments/policies/ex-009,files_circulars_iscp-ex_EX-009-ria.pdf,דוח הערכה להשפעת רגולציה,https://www.gov.il/BlobFolder/policy/ex-009/he/files_circulars_iscp-ex_EX-009-ria.pdf,
3,iscp-26032026,דרישות קיימות לפעילות מילוי גזים רפואיים,2026-04-13T21:00:00Z,https://www.gov.il/he/pages/iscp-26032026,files_circulars_iscp-ex_iscp-26032026.pdf,דרישות קיימות לפעילות מילוי גזים רפואיים,https://www.gov.il/BlobFolder/policy/iscp-26032026/he/files_circulars_iscp-ex_iscp-26032026.pdf,
4,,"רשימת נהלי האיכות של ארגון ה- ICH , VICH ושל סוכנות התרופות האירופאית European Medicine Agency (EMA) המאומצים ע""י המכון לביקורת",2026-03-24T22:00:00Z,https://www.gov.il/he/Departments/policies/iscp-04032024,files_circulars_iscp-ex_ISCP_04032024.pdf,"מסמכי איכות עדכניים לשנת 2026 של ארגון ICH, VICH ושל סוכנות התרופות האירופאית (EMA) המאומצים ע""י המכון לביקורת ותקינה של חומרי ר",https://www.gov.il/BlobFolder/policy/iscp-04032024/he/files_circulars_iscp-ex_ISCP_04032024.pdf,
5,,רשימת בתי מסחר מאושרים לגזים רפואיים,2026-03-23T22:00:00Z,https://www.gov.il/he/pages/medical-gaz-suppliers-list,files_regulation_drugs_medical-gaz-suppliers-list.pdf,רשימת בתי מסחר מאושרים לגזים רפואיים,https://www.gov.il/BlobFolder/policy/medical-gaz-suppliers-list/he/files_regulation_drugs_medical-gaz-suppliers-list.pdf,
6,109086826,הסדרת בתי מסחר לתרופות - גזים רפואיים אחסון והפצה בלבד,2026-02-23T22:00:00Z,https://www.gov.il/he/pages/109086826-pdfua,files_regulation_drugs_109086826-PDFUA.pdf,הסדרת בתי מסחר לתרופות - גזים רפואיים אחסון והפצה בלבד,https://www.gov.il/BlobFolder/policy/109086826-pdfua/he/files_regulation_drugs_109086826-PDFUA.pdf,
7,100329926,שימוש בגזים רפואיים - חוזר מעודכן,2026-02-17T22:00:00Z,https://www.gov.il/he/pages/100329926-pdfua,files_regulation_drugs_100329926-PDFUA.pdf,שימוש בגזים רפואיים - חוזר מעודכן,https://www.gov.il/BlobFolder/policy/100329926-pdfua/he/files_regulation_drugs_100329926-PDFUA.pdf,
8,2171682,תאריכי וועדות מייעצות לשנת 2026,2026-01-12T22:00:00Z,https://www.gov.il/he/pages/reg-2171682,files_regulation_drugs_reg-21716826.pdf,תאריכי וועדות מייעצות לשנת 2026,https://www.gov.il/BlobFolder/policy/reg-2171682/he/files_regulation_drugs_reg-21716826.pdf,
9,ISCP_01022021,"מפעלים פרמצבטיים, יבואנים, בתי מסחר ומעבדות שירות מפוקחים בישראל/חו""ל GMP GDP status of inspected sites",2025-12-30T22:00:00Z,https://www.gov.il/he/Departments/policies/iscp-04092022,files_circulars_iscp-ex_ISCP_04092022.pdf,"מפעלים פרמצבטיים, יבואנים, בתי מסחר ומעבדות שירות מפוקחים בישראל/חו""ל  GMP GDP status of inspected sites",https://www.gov.il/BlobFolder/policy/iscp-04092022/he/files_circulars_iscp-ex_ISCP_04092022.pdf,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_EX-005.pdf,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_EX-005.pdf,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_EX-005-RIA.pdf,"דוח השפעת רגולציה (RIA)- עדכון לנוהל 005-EX - ""נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר""",https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_EX-005-RIA.pdf,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_Form-1-EX-005.docx,רשימת תיוג להגשת בקשה לחידוש רישום ליחידה לתכשירים ביולוגיים,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_Form-1-EX-005.docx,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_Form-2-EX-005.docx,רשימת תיוג להגשת בקשה לחידוש רישום ליחידה לתכשירים כימיים,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_Form-2-EX-005.docx,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_Form-3-EX-005.docx,פרטים מבוקשים על תכשיר,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_Form-3-EX-005.docx,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_Form-4-EX-005.docx,פרטים מבוקשים על ממס מוהל,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_Form-4-EX-005.docx,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_Form-5-EX-005.docx,רשימת שינויים כרונולוגית עבור בקשה לחידוש רישום,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_Form-5-EX-005.docx,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_Form-6-EX-005.docx,סטטוס וולידציות ומידע אודות התכשיר עבור בקשה לחידוש רישום ליחידה לתכשירים כימיים,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_Form-6-EX-005.docx,
10,EX-005,נוהל להגשת בקשה לתעודת איכות לצורך חידוש רישום של תכשיר רפואי,2025-12-06T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-005,files_circulars_iscp-ex_Form-7-EX-005.docx,טופס מלווה להגשת בקשות לחידוש רישום-מעבדה כימית,https://www.gov.il/BlobFolder/policy/ex-005/he/files_circulars_iscp-ex_Form-7-EX-005.docx,
11,395492825,תאריכי הגשת תיקים לרישום תכשירים ושינויי התוויה/משטר מינון לשנת 2026,2025-10-26T22:00:00Z,https://www.gov.il/he/pages/reg-395492825,files_regulation_drugs_reg-395492825.pdf,תאריכי הגשת תיקים לרישום תכשירים ושינויי התוויה/משטר מינון לשנת 2026,https://www.gov.il/BlobFolder/policy/reg-395492825/he/files_regulation_drugs_reg-395492825.pdf,
12,86,קביעת תיעדוף ברישום תכשירים רפואיים,2025-03-31T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-86,files_circulars_dr_DR_86.pdf,קביעת תיעדוף ברישום תכשירים רפואיים,https://www.gov.il/BlobFolder/policy/dr-86/he/files_circulars_dr_DR_86.pdf,
13,246187824,מתווה פיילוט לרישום תכשירים 2025-2026,2025-03-24T22:00:00Z,https://www.gov.il/he/pages/dr-246187824,files_circulars_dr_DR-24618782.pdf,מתווה פיילוט לרישום תכשירים 2025-2026,https://www.gov.il/BlobFolder/policy/dr-246187824/he/files_circulars_dr_DR-24618782.pdf,
13,246187824,מתווה פיילוט לרישום תכשירים 2025-2026,2025-03-24T22:00:00Z,https://www.gov.il/he/pages/dr-246187824,files_circulars_dr_DR-24618782_DR-24618782-new-Medicinal-Product-supplemental-information-form.docx,New Medicinal Product supplemental information form,https://www.gov.il/BlobFolder/policy/dr-246187824/he/files_circulars_dr_DR-24618782_DR-24618782-new-Medicinal-Product-supplemental-information-form.docx,
13,246187824,מתווה פיילוט לרישום תכשירים 2025-2026,2025-03-24T22:00:00Z,https://www.gov.il/he/pages/dr-246187824,files_circulars_dr_DR-24618782_DR-24618782-Eligibility-checker.xlsx,Eligibility checker,https://www.gov.il/BlobFolder/policy/dr-246187824/he/files_circulars_dr_DR-24618782_DR-24618782-Eligibility-checker.xlsx,
